ID, Pregunta, Cumplimiento, 15 Criterios,
1, 8 principios,,
1.1, Complete ,  ,
1.2,Primary ,  ,  
1.3,Timely ,  ,  
1.4,Accessible ,  ,  
1.5,Machine processable ,  ,   
1.6,Non-Discriminatory ,  ,  
1.7,Non-Proprietary , ,
1.8,License-free ,  , 
2, Producción,,
2.1, ¿Se ha definido una misión y estrategia para la apertura de los datos? , no ,
2.2, ¿Los datos proceden de una fuente segura? , no ,
2.3, ¿Se puede conocer la procedencia de los datos? ,  , 
2.4, ¿Existe algún mecanismo para asegurar la calidad de los datos? ,  ,  
3, Ventajas,,
3.1, ¿Facilitan los datos la inclusión? ,  ,
3.2, ¿Mejoran la transparencia? ,  , 
3.3, ¿Existe alguna responsabilidad sobre los datos? , no ,
4, Beneficios,,
4.1, ¿Pueden las aplicaciones servirse de estos datos para generar servicios, reutilización? ,  ,
4.2, ¿Se pueden generar múltiples vistas de los datos? ,  ,
4.3, ¿Se pueden integrar con otras fuentes de datos? ,  ,  
5, Consumo,,
5.1, Uso de anotaciones ,  ,   
5.2, ¿Se provee un API o servicio web de consumo? ,  ,
5.3, ¿Se provee algún mecanismo de sindicación para obtener los datos?, no ,
5.4, ¿Existe algún modelo formal o especificación de los datos publicados? ,  ,
