000012-2011,bg,false,7,5,1,ContractingAuthority,Европейска централна банка,,,"Kaiserstraße 29, 60311, Франкфурт на Майн",Kaiserstraße 29,60311,Франкфурт на Майн,,"neubau-ausschreibung@ecb.europa.eu",+49.691344 +49.691340,+49.691344 +49.696000,http://www.ecb.europa.eu/
000013-2011,bg,false,3,5,1,ContractingAuthority,Европейска централна банка,,,"Kaiserstraße 29, 60311, Франкфурт на Майн",Kaiserstraße 29,60311,Франкфурт на Майн,,"procurement@ecb.europa.eu",+49.691344 +49.691340,+49.691344 +49.696000,http://www.ecb.europa.eu/
000170-2011,bg,false,7,5,1,ContractingAuthority,Европейски парламент,,,"plateau de Kirchberg, 2929, Люксембург",plateau de Kirchberg,2929,Люксембург,,"",,,
000175-2011,bg,false,7,5,1,ContractingAuthority,Европейска комисия,"Генерална дирекция „Околна среда“, SRD.2 – Финанси",,"BU 5, 00/122, 1049, Брюксел","BU 5, 00/122",1049,Брюксел,,"env-tenders@ec.europa.eu",+32.22960008,,http://ec.europa.eu/environment/funding/calls_en.htm
000176-2011,bg,false,7,5,1,ContractingAuthority,Европейска комисия,Генерална дирекция „Вътрешни работи“,,"LX46, 8/104, 1049, Брюксел","LX46, 8/104",1049,Брюксел,,"home-return-fund@ec.europa.eu",,,http://ec.europa.eu/justice_home/funding/tenders/funding_calls.en.htm
000177-2011,bg,false,7,5,1,ContractingAuthority,Европейска комисия,ГД „Данъчно облагане и митнически съюз“,,"rue Joseph II 79 (офис J79 6/40), 1049, Брюксел",rue Joseph II 79 (офис J79 6/40),1049,Брюксел,,"taxud-tenders@ec.europa.eu",+32.22963332,+32.22995444,http://ec.europa.eu/taxation_customs/index_en.htm
000178-2011,bg,false,7,5,1,ContractingAuthority,Европейски орган за безопасност на храните (ЕОБХ),,,"largo Natale Palli 5/A, 43121, Парма PR",largo Natale Palli 5/A,43121,Парма PR,,"procurement@efsa.europa.eu",+39.0521036 +39.0521636,+39.0521036 +39.0520636,http://www.efsa.europa.eu/en/procurement/tenders.htm
000179-2011,bg,false,7,5,1,ContractingAuthority,Европейска комисия,"Генерална дирекция „Околна среда“, SRD.2 – Финанси",,"BU 5, 00/122, 1049, Брюксел","BU 5, 00/122",1049,Брюксел,,"env-tenders@ec.europa.eu",+32.22960008,,http://ec.europa.eu/environment/funding/calls_en.htm
000180-2011,bg,false,7,5,1,ContractingAuthority,Европейска комисия,ГД „Данъчно облагане и митнически съюз“,,"rue Joseph II 79 (офис J79 6/40), 1049, Брюксел",rue Joseph II 79 (офис J79 6/40),1049,Брюксел,,"taxud-tenders@ec.europa.eu",+32.22963332,+32.22995444,http://ec.europa.eu/taxation_customs/index_en.htm
000181-2011,bg,false,7,3,1,ContractingAuthority,"Gemeente Apeldoorn, Dienst Ruimtelijke Ontwikkeling, afd. Domeinen en Bouwmanagement",dhr. J.J. Beck,Combined Business Power B.V.,"Postbus 9033, 7300 ES, Apeldoorn, НИДЕРЛАНДИЯ",Postbus 9033,7300 ES,Apeldoorn,НИДЕРЛАНДИЯ,"projectbureau@cbp.nl",+31.553680816,,http://www.apeldoorn.nl/
000181-2011,bg,false,7,3,2,AwardedTo,KW-Kranwerke AG Mannheim,,,"Claus von Stauffenberstrasse 15, 68163, Mannheim, ГЕРМАНИЯ",Claus von Stauffenberstrasse 15,68163,Mannheim,ГЕРМАНИЯ,"",,,
000182-2011,bg,false,7,8,1,ContractingAuthority,"Západoslovenská vodárenská spoločnosť, a.s.",Ing. Jozef Tarič,"Západoslovenská vodárenská spoločnosť, a.s., Nábrežie za hydrocentrálou 4, 949 60 Nitra","Nábrežie za hydrocentrálou 4, 949 60, Nitra, СЛОВАКИЯ",Nábrežie za hydrocentrálou 4,949 60,Nitra,СЛОВАКИЯ,"jozef.taric@zsvs.sk",+421.376949202,,http://www.zsvs.sk/
000182-2011,bg,false,7,8,2,AwardedTo,"ZIPP Bratislava, spol. s r.o.",,,"Mlynské Nivy 61/A, 820 15, Bratislava, СЛОВАКИЯ",Mlynské Nivy 61/A,820 15,Bratislava,СЛОВАКИЯ,"",+421.232622326,+421.232626324,
000183-2011,bg,false,7,3,1,ContractingAuthority,Der Kreisausschuss des Hochtaunuskreises,,,"Ludwig-Erhard-Anlage 1-5, 61352, Bad Homburg vor der Höhe, ГЕРМАНИЯ",Ludwig-Erhard-Anlage 1-5,61352,Bad Homburg vor der Höhe,ГЕРМАНИЯ,"ausschreibungen@hochtaunuskreis.de",+49.61729991875,+49.61729999824,http://www.hochtaunuskreis.de/
000183-2011,bg,false,7,3,2,AwardedTo,Joh. Meiner GmbH,,,"Steinweg 8, 56727, Mayen, ГЕРМАНИЯ",Steinweg 8,56727,Mayen,ГЕРМАНИЯ,"info@jmeiner.de",+49.265170280,+49.2651702821,http://www.meiner-dach.de
000184-2011,bg,false,7,3,1,ContractingAuthority,Der Kreisausschuss des Hochtaunuskreises,,,"Ludwig-Erhard-Anlage 1-5, 61352, Bad Homburg vor der Höhe, ГЕРМАНИЯ",Ludwig-Erhard-Anlage 1-5,61352,Bad Homburg vor der Höhe,ГЕРМАНИЯ,"ausschreibungen@hochtaunuskreis.de",+49.61729991875,+49.61729999824,http://www.hochtaunuskreis.de/
